"Data exported from:",http://scotssyntaxatlas.ac.uk/api/v1/csv/attributes
pid,code,pname,pdesc,atname,atdescription,aid,soundclips
49,d28,"LOCATIVE DISCOVERY EXPRESSIONS - DOUBLING",,"<b>Here I'm here</b>!",,173
49,d29,"LOCATIVE DISCOVERY EXPRESSIONS - DOUBLING",,"<b>There I'm there</b>!",,174
50,d31,"LOCATIVE DISCOVERY EXPRESSIONS - INVERTED",,"<b>There's it</b>!",,176
50,d32,"LOCATIVE DISCOVERY EXPRESSIONS - INVERTED",,"<b>There's him</b>!",,177
50,d33,"LOCATIVE DISCOVERY EXPRESSIONS - INVERTED",,"<b>There's them</b>!",,178
7,d19,"LOCATIVE DISCOVERY EXPRESSIONS - MINIMAL",,"<b>Here it's</b>!",,256
7,d21,"LOCATIVE DISCOVERY EXPRESSIONS - MINIMAL",,"<b>There it's</b>!",,171
7,d27,"LOCATIVE DISCOVERY EXPRESSIONS - MINIMAL",,"<b>There I'm</b>!",,172
7,d30,"LOCATIVE DISCOVERY EXPRESSIONS - MINIMAL",,"<b>Here I'm</b>!",,175
23,q38,"NOMINALS - DEMONSTRATIVES",," Take a look at <b>this photos</b> and tell us what one's the best.",,265,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/q38-16.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q38-238.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q38-239.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q38-240.mp3"
23,q40,"NOMINALS - DEMONSTRATIVES",," I've got <b>they shoes</b> as well.",,266,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/q40-241.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q40-242.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q40-243.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q40-244.mp3"
23,q41,"NOMINALS - DEMONSTRATIVES",," I like <b>them books</b>.",,251
23,q42,"NOMINALS - DEMONSTRATIVES",,"<b>Yon tree</b>'s grown a lot.",,267,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/q42-174.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q42-175.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q42-176.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q42-177.mp3"
23,q43,"NOMINALS - DEMONSTRATIVES",,"<b>Thon tree</b>'s grown a lot.",,268,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/q43-170.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q43-171.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q43-172.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q43-173.mp3"
23,q44,"NOMINALS - DEMONSTRATIVES",,"<b>Yon boys</b> are always out playing football.",,287
26,q46,"NOMINALS - DETERMINERS","control examples"," I've got <b>the cold</b> again.",,288
